instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1gef_graph-pp.dimacs,twlib,atmost200,7,3.2399,1.0,htd-b100-n1
1gef_graph-pp.dimacs,twlib,atmost200,7,3.602,1.0,htd-b150-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,11.7217,1.0,tcs-b125-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,11.8557,1.0,tcs-b100-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,12.4547,1.0,tcs-b150-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,13.4839,1.0,tcs-b75-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,28.5463,1.0,jdrasil-b100-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,28.7066,1.0,jdrasil-b75-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,30.0398,1.0,jdrasil-b125-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,35.3778,1.0,jdrasil-b150-n1
1gef_graph-pp.dimacs,twlib,atmost200,8,38.6059,1.0,jdrasil-b75t1800-n1
1gef_graph.dimacs,twlib,atmost200,7,3.2982,1.0,htd-b100-n1
1gef_graph.dimacs,twlib,atmost200,7,3.3103,1.0,htd-b150-n1
1gef_graph.dimacs,twlib,atmost200,8,11.9175,1.0,tcs-b100-n1
1gef_graph.dimacs,twlib,atmost200,8,11.9212,1.0,tcs-b125-n1
1gef_graph.dimacs,twlib,atmost200,8,12.0758,1.0,tcs-b150-n1
1gef_graph.dimacs,twlib,atmost200,8,14.1314,1.0,tcs-b75-n1
1gef_graph.dimacs,twlib,atmost200,8,35.4813,1.0,jdrasil-b75-n1
1gef_graph.dimacs,twlib,atmost200,8,36.3194,1.0,jdrasil-b125-n1
1gef_graph.dimacs,twlib,atmost200,8,36.6116,1.0,jdrasil-b100-n1
1gef_graph.dimacs,twlib,atmost200,8,41.2748,1.0,jdrasil-b75t1800-n1
1gef_graph.dimacs,twlib,atmost200,8,41.4444,1.0,jdrasil-b150-n1
1i0v_graph.dimacs,twlib,atmost200,4,3.5513,1.0,htd-b150-n1
1i0v_graph.dimacs,twlib,atmost200,5,2.7899,1.0,htd-b100-n1
1i0v_graph.dimacs,twlib,atmost200,6,11.2275,1.0,tcs-b150-n1
1i0v_graph.dimacs,twlib,atmost200,6,11.4562,1.0,tcs-b125-n1
1i0v_graph.dimacs,twlib,atmost200,6,12.7838,1.0,tcs-b75-n1
1i0v_graph.dimacs,twlib,atmost200,6,12.8711,1.0,tcs-b100-n1
1i0v_graph.dimacs,twlib,atmost200,6,35.6296,1.0,jdrasil-b100-n1
1i0v_graph.dimacs,twlib,atmost200,6,39.2079,1.0,jdrasil-b150-n1
1i0v_graph.dimacs,twlib,atmost200,6,40.9348,1.0,jdrasil-b75t1800-n1
1i0v_graph.dimacs,twlib,atmost200,6,41.2889,1.0,jdrasil-b75-n1
1i0v_graph.dimacs,twlib,atmost200,6,41.385,1.0,jdrasil-b125-n1
